# LAST EDIT: 2021/04/11 - SUPERNOVA
##############
# GOBLIN/ORC #
##############
###ÄNSI
#REPUBLICAN Laws

SHORTER_TERMS;Shorter;;;;;;;;;;;;x
LONGER_TERMS;Longer;;;;;;;;;;;;x
law_election_cycles;Elections;;;;;;;;;;;;x
law_election_cycles_desc;Determines the Lenght of how long an elected leader can stay in office.;;;;;;;;;;;;x
law_election_cycles_0;4 Years;;;;;;;;;;;;x
law_election_cycles_0_desc;Change election term to 4 Years ;;;;;;;;;;;;x
law_election_cycles_1;8 Years;;;;;;;;;;;;x
law_election_cycles_1_desc;Change election term to 8 Years ;;;;;;;;;;;;x
law_election_cycles_2;16 Years ;;;;;;;;;;;;x
law_election_cycles_2_desc;Change election term to 16 Years ;;;;;;;;;;;;x
law_election_cycles_3;10 Years;;;;;;;;;;;;x
law_election_cycles_3_desc;Change election term to 10 Years;;;;;;;;;;;;x
law_election_cycles_4;15 Years;;;;;;;;;;;;x
law_election_cycles_4_desc;Change election term to 15 Years;;;;;;;;;;;;x
law_election_cycles_5;20 Years;;;;;;;;;;;;x
law_election_cycles_5_desc;Change election term to 20 Years;;;;;;;;;;;;x
law_election_cycles_6;Dictatorship;;;;;;;;;;;x
law_election_cycles_6_desc;Establish an Dictatorship to get rid of the election cycles for future leaders;;;;;;;;;;;x
law_election_cycles_7;Drachau Governate;;;;;;;;;;;x
law_election_cycles_7_desc;Rule at leisure of The Witch King, Easily replaced should you displease him.;;;;;;;;;;;x
#law_election_cycles_7 # Drachau - Leisure of Malekith
law_marienburg_domination;Guilds of Marienburg;;;;;;;;;;;x
law_marienburg_domination_desc;Guilds of Marienburg and westerland as whole are contantly vying for power and theres very little the nobility can do to curtail them with the ingrained power base of the merchants.;;;;;;;;;;;x
law_marienburg_domination_0;Guild Domination;;;;;;;;;;;x
law_marienburg_domination_0_desc;Guilds of Westerland have acquired power to control much of westerland and will strive to diminish the hold on the land by the nobility.;;;;;;;;;;;x
law_marienburg_domination_1;Diminished Guilds;;;;;;;;;;;x
law_marienburg_domination_1_desc;Guilds have been severly weakened and are unable to make any demands of Lords of westerland, but they are sure to raise again;;;;;;;;;;;x
#
# GOBLIN/ORC LAWS
#
greenskin_power;Greenskin Control;;;;;;;;;;;;x
greenskin_power_desc;Greenskins don't have the same concept of ruler as the other races, instead the strong rule over the weak. That is the only Greenskin law.\n Each level of this law will be automatically passed to its next level at 500, 1000, 4000 and 8000 piety for each respective level.\n The average time for the next level of the law to be enacted is 1 year, but it can be shortened with certain traits.;;;;;;;;;;;;x
greenskin_power_0;No Greenskin Control;;;;;;;;;;;;x
greenskin_power_0_desc;The Greenskins of this tribe don't respect your authority at all. Next level available at 500.;;;;;;;;;;;;x
greenskin_power_1;Low Greenskin Control;;;;;;;;;;;;x
greenskin_power_1_desc;The Greenskins now grudgingly respect your authority. Next level available at 1000.;;;;;;;;;;;;x
greenskin_power_2;Medium Greenskin Control;;;;;;;;;;;;x
greenskin_power_2_desc;The Greenskins now somewhat respect your authority. Next level available at 4000.;;;;;;;;;;;;x
greenskin_power_3;High Greenskin Control;;;;;;;;;;;;x
greenskin_power_3_desc;The Greenskins now respect your authority. Next level available at 8000.;;;;;;;;;;;;x
greenskin_power_4;Absolute Greenskin Control;;;;;;;;;;;;x
greenskin_power_4_desc;The Greenskins now completely respect your authority.;;;;;;;;;;;;x
investiture_grail_law_0_desc;There has never been precedent to try and persuade the filthy peasants of religious matters, as it is not an important factor for the Lady. The peasantry have been therefore left to their own devices, as long as they don't stray into the hands of Chaos.;;;;;;;;;;;;;x
investiture_grail_law_1;Middling Toleration;;;;;;;;;;;;;x
TT_BRETONNIAN_INVST_1;Allows control of further conversion away from the Grail in events;;;;;;;;;;;;;x
investiture_grail_law_1_desc;The Nobility has some differentiating opinions with the Fay Enchantress about the direction of worship within the realm, resulting in clashes with the damsels and different Old World religious cults.;;;;;;;;;;;;;x
investiture_grail_law_2;Intolerant Society;;;;;;;;;;;;;x
investiture_grail_law_2_desc;The ignorance of the peasantry is no long permissable, and Bretonnia has finally unleashed the inquisition upon the unsuspecting innocent populace. May the gods have mercy on them!;;;;;;;;;;;;;x
TT_BRETONNIAN_INVST_INQ;Allows access to religious conversions within the Old World religion group;;;;;;;;;;;;;x
sub_feudafication_0;Strict Tenure;;;;;;;;;;;;;x
sub_feudafication_0_option;Strict;;;;;;;;;;;;;x
sub_feudafication_0_desc;Only you are allowed to carve out new tenures by sub-letting part of your lands to tenants.;;;;;;;;;;;x
sub_feudafication_1;Limited Tenure;;;;;;;;;;;;;x
sub_feudafication_1_option;Limited;;;;;;;;;;;;;x
sub_feudafication_1_desc;Allow some vassals to carve out new tenures by sub-letting part of their lands to tenants.;;;;;;;;;;;x
sub_feudafication_2;Open Tenure;;;;;;;;;;;;;x
sub_feudafication_2_option;Open;;;;;;;;;;;;;x
sub_feudafication_2_desc;Allow all vassals to carve out new tenures by sub-letting part of their lands to tenants.;;;;;;;;;;;;;x
sub_feudafication;Subfeudification;;;;;;;;;;;;;x
sub_feudafication_desc;Carve out new and distinct tenures by sub-letting land to tenants.\n\nTrades demesne size for more vassals and increased vassal opinion. Also controls Viceroyalty laws.;;;;;;;;;;;;;x
lady_religious_elective;The Church of Lady;;;;;;;;;;;;;x
lady_religious_elective_desc; ;;;;;;;;;;;;;x
bretonnia_feudal_elective;Bretonnian Monarchy;;;;;;;;;;;;;x
succ_bretonnia_elective_option;Bretonnian;;;;;;;;;;;;;x
succ_bretonnia_elective_desc;The ruler and each Bretonnian Duke can nominate a successor from all the Grail Knights. Elective Succession is very popular with the vassals, but they will not approve if their liege personally holds too many elector titles.;;;;;;;;;;;;;x

#
# DWARF LAWS
# 
dwarf_clan_power_law;Clan Hierarchy;;;;;;;;;x
dwarf_clan_power_law_desc;Dwarfs take their ancestry as seriously as they take their grudges. Each Dwarf belongs to a Clan — a group of Dwarfs who can trace their descent to a common point.;;;;;;;;;;;;;x
dwarf_clan_power_law_0;Warrior Clan;;;;;;;;;;;;;x
dwarf_clan_power_law_0_desc;Favor the Warrior clan, providing you with more troops.;;;;;;;;;;;;;x
dwarf_clan_power_law_1;Elite Clan;;;;;;;;;;;;;x
dwarf_clan_power_law_1_desc;Favor the landholding Elite, boosting their opinion of you but reducing troop reinforcement rate.;;;;;;;;;;;;;x
dwarf_clan_power_law_2;Ranger Clan;;;;;;;;;;;;;x
dwarf_clan_power_law_2_desc;Favor the Rangers, boosting their opinion of you.;;;;;;;;;;;;;x
dwarf_clan_power_law_3;Slayer Clan;;;;;;;;;;;;;x
dwarf_clan_power_law_3_desc;Favor the Slayers, boosting their opinion of you.;;;;;;;;;;;;;x
#
# SKAVEN 
#
skaven_clan_power_law;Clan Hierarchy;;;;;;;;;x
skaven_clan_power_law_desc;The skaven clans structure themselves how ever they wish at all times to represent the needs of their clan leader.;;;;;;;;;x
skaven_clan_power_law_2;Scavanger Clan;;;;;;;;;x
skaven_clan_power_law_1;Elite Clan;;;;;;;;;x
skaven_clan_power_law_0;Skaven Clan;;;;;;;;;x
skaven_clan_power_law_2_desc;This clan Partakes in scavenging the dead in any battle field they can find on the surface and the underground to strenghten their coffers.;;;;;;;;;x
skaven_clan_power_law_1_desc;This clan Prides themselves in their elite warriors first and foremost.;;;;;;;;;x
skaven_clan_power_law_0_desc;This clan is filled with cowardly skaven to the brim to maximize their numbers.;;;;;;;;;x
